strain	date	gpc_lineage	host	country	abbr_authors	s_lineage	genbank_accession	author	accession	sub_lineage	division
LASV/H.sapiens-tc/NGA/2013/IRR_004	2013-01-23	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107970	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107970	2c	Plateau
LASV/H.sapiens-tc/NGA/2014/IRR_009	2014-05-17	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107906	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107906		Ebonyi
Nig14-09	2014-01-01 (2014-01-01 - 2014-10-07)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387478	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387478		Ebonyi
Nig14-03	2014-01-01 (2014-01-01 - 2014-11-10)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387472	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387472		Ebonyi
Nig14-04	2014-12-31 (2014-07-25 - 2014-12-31)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387474	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387474		Ebonyi
Nig14-19	2014-01-01 (2014-01-01 - 2014-11-10)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387480	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387480		Ebonyi
LASV/H.sapiens-tc/NGA/2014/IRR_005	2014-05-14	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107902	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107902	2c	Ebonyi
Nig14-06	2014-01-29 (2014-01-01 - 2014-12-31)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387476	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387476		Ebonyi
LASV/H.sapiens-tc/NGA/2014/IRR_007	2014-05-14	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107904	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107904		Ebonyi
LASV/H.sapiens-tc/NGA/2014/IRR_006	2014-05-14	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107903	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107903		Ebonyi
LASV/H.sapiens-tc/NGA/2014/IRR_008	2014-05-15	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107905	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107905		Ebonyi
LASV/H.sapiens-wt/NGA/2018/IRR_100	2018-02-12	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK118019	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK118019	2c	Ebonyi
LASV/H.sapiens-wt/NGA/2018/IRR_063	2018-02-07	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK117994	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117994	2c	Ebonyi
H.sapiens-wt/NGA/2018/LASV0168-DELTA-2018	2018-02-10	LII	Homo sapiens	Nigeria	Siddle et al.	LII	MH887834	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887834		
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0543	2016-02-08	LII	Homo sapiens	Nigeria	Odia et al.	LII	MH053527	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053527		
Nig16-11	2016-03-28 (2016-01-01 - 2016-12-31)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387484	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387484		Ebonyi
Nig16-14	2016-12-31 (2016-02-18 - 2016-12-31)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387488	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387488		Ebonyi
LASV/H.sapiens-wt/NGA/2018/IRR_099	2018-02-15	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK118018	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK118018	2c	Ebonyi
H.sapiens-wt/NGA/2018/LASV0195-EBONYI-2018	2018-02-17	LII	Homo sapiens	Nigeria	Siddle et al.	LII	MH887828	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887828		
Nig12-17	2012-02-16 (2012-01-01 - 2012-12-31)	LII	Homo sapiens	Nigeria	Oloniniyi et al.	LII	LC387468	Oloniniyi,O.K.,Unigwe,U.S.,Okada,S.,Kimura,M.,Koyano,S.,Miyazaki,Y.,Iroezindu,M.O.,Ajayi,N.A.,Chukwubike,C.M.,Chika-Igwenyi,N.M.,Ndu,A.C.,Nwidi,D.U.,Abe,H.,Urata,S.,Kurosaki,Y.,Yasuda,J.	LC387468		Ebonyi
H.sapiens-wt/NGA/2018/LASV0126-EBONYI-2018	2018-01-13	LII	Homo sapiens	Nigeria	Siddle et al.	LII	MH887820	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887820		
LASV/H.sapiens-wt/NGA/2018/IRR_061	2018-02-07	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK117993	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117993	2c	Ebonyi
LASV/H.sapiens-wt/NGA/2018/IRR_065	2018-02-10	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK117996	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117996	2c	Ebonyi
H.sapiens-wt/NGA/2018/LASV0165-EBONYI-2018	2018-02-10	LII	Homo sapiens	Nigeria	Siddle et al.	LII	MH887799	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887799		
LASV/H.sapiens-wt/NGA/2018/IRR_044	2018-01-30	LII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LII	MK117980	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117980	2c	Ebonyi
Lassa virus/H.sapiens-wt/NGA/2018/ISTH_0611	2018-02-02	LII	Homo sapiens	Nigeria	Odia et al.	LII	MH157039	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH157039		
LASV/H.sapiens-tc/NGA/2012/IRR_003	2012-02-10	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107960	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107960	2d	Taraba
LASV/H.sapiens-tc/NGA/2016/IRR_004	2016-01-05	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107942	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107942	2d	Taraba
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0104	2016-01-05	LII	Homo sapiens	Nigeria	Odia et al.	LII	MH053562	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053562		
LASV/H.sapiens-tc/NGA/2015/IRR_007	2015-02-25	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107952	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107952	2d	Taraba
LASV/H.sapiens-tc/NGA/2013/IRR_008	2013-03-06	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107901	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107901	2d	Taraba
H.sapiens-wt/NGA/2018/LASV0154-TARABA-2018	2018-02-04	LII	Homo sapiens	Nigeria	Siddle et al.	LII	MH887880	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887880		
LASV/H.sapiens-tc/NGA/2012/IRR_001	2012-02-08	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107958	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107958	2d	Taraba
LASV/H.sapiens-tc/NGA/2012/IRR_005	2012-02-10	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107969	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107969		Taraba
ISTH2065-NIG-2012	2012-01-01 (2012-01-01 - 2012-09-07)	LII	Homo sapiens	Nigeria	Andersen et al.	LII	KM821974	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821974		
ISTH2069-NIG-2012	2012-01-11 (2012-01-01 - 2012-12-31)	LII	Homo sapiens	Nigeria	Andersen et al.	LII	KM821977	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821977		
LASV/H.sapiens-tc/NGA/2012/IRR_002	2012-02-10	LII	Homo sapiens	Nigeria	Ehichioya et al.	LII	MK107959	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107959		Taraba
ISTH2066-NIG-2012	2012-02-09 (2012-01-01 - 2012-12-31)	LII	Homo sapiens	Nigeria	Andersen et al.	LII	KM821976	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821976		
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1610	2016-11-07	LII	Homo sapiens	Nigeria	Odia et al.	LII	MH053536	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053536		
P09/282	2009-01-01 (2009-01-01 - 2009-11-18)	LII	Homo sapiens	Nigeria	Ashraf et al.	LII	OL774859	Ashraf,S.,Love,H.,Burton,C.,Carmichael,S.,Davis,C.,Filipe,A.D.,Roddy,S.,Smollett,K.,Summers,S.,Tong,L.,Richards,K.S.,Thomson,E.C.	OL774859		
