strain	date	country	host	abbr_authors	l_lineage	genbank_accession	author	accession	division
G1960-SLE-2011	2011-01-01 (2011-01-01 - 2011-08-30)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821819	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821819	
G2565-SLE-2012	2012-12-31 (2012-04-03 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821862	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821862	
G1792-SLE-2011	2011-10-25 (2011-01-01 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821813	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821813	
G610-SLE-2009	2009-12-31 (2009-05-09 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821776	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821776	
G771-SLE-2010	2010-01-01 (2010-01-01 - 2010-08-24)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821788	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821788	
G693-SLE-2009	2009-11-06 (2009-01-01 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821784	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821784	
G503-SLE-2009	2009-01-01 (2009-01-01 - 2009-11-12)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821774	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821774	
LM779-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-22)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822125	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822125	
G2147-SLE-2011	2011-12-31 (2011-02-16 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821823	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821823	
G1180-SLE-2010	2010-12-31 (2010-02-08 - 2010-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821793	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821793	
G-7661-1-1	2017-08-03	Sierra Leone		Sandi et al.	LIV_V	OQ919505	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919505	Kgh
G502-SLE-2009	2009-12-31 (2009-03-10 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821772	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821772	
G2318-SLE-2012	2012-12-31 (2012-02-10 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821844	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821844	
LM778-SLE-2012	2012-12-31 (2012-02-22 - 2012-12-31)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822123	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822123	
LM222-SLE-2010	2010-01-01 (2010-01-01 - 2010-11-07)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822112	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822112	
G2165-SLE-2011	2011-07-17 (2011-01-01 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821825	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821825	
G2184-SLE-2011	2011-12-31 (2011-03-28 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821827	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821827	
LM774-SLE-2012	2012-12-31 (2012-02-23 - 2012-12-31)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822119	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822119	
LM776-SLE-2012	2012-02-10 (2012-01-01 - 2012-12-31)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822121	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822121	
LF2384	2012-04-02 (2012-01-01 - 2012-12-31)	Sierra Leone	Homo sapiens	Taniguchi et al.	LIV_V	PP826289	Taniguchi,S.,Saito,T.,Paroha,R.,Manning,J.T.,Huang,C.,Paessler,S.,Maruyama,J.	PP826289	
LF2384-NS-DIA-1	2012-04-02 (2012-01-01 - 2012-12-31)	Sierra Leone	Homo sapiens	Maruyama et al.	LIV_V	MN275172	Maruyama,J.,Manning,J.T.,Mateer,E.J.,Sattler,R.A.,Bukreyeva,N.,Huang,C.,Paessler,S.	MN275172	
G808-SLE-2010	2010-12-31 (2010-02-13 - 2010-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821791	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821791	
G2868-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-21)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821873	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821873	
Josiah	1976-03-11	Sierra Leone	Homo sapiens	Bjornson-Hooper et al.	LIV_V	JN650518	Bjornson-Hooper,Z.B.,Gire,S.,Honko,A.,Sabeti,P.C.,Hensley,L.E.	JN650518	Songo Hospital
U73035	2019-03-01 (2015-01-09 - 2023-10-24)			Djavani et al.	LIV_V	U73035	Djavani,M.,Lukashevich,I.,Sanchez,A.,Nichol,S.T.,Salvato,M.S.	U73035	
Josiah_25yklx	1979-08-27 (1978-05-27 - 1981-02-13)			Djavani et al.	LIV_V	NC_004297	Djavani,M.,Lukashevich,I.S.,Sanchez,A.,Nichol,S.T.,Salvato,M.S.,Lukashevich,I.	NC_004297	
G3206-SLE-2013	2013-01-01 (2013-01-01 - 2013-11-11)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821898	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821898	
G2903-SLE-2012	2012-12-31 (2012-02-15 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821875	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821875	
G-8439-1-1	2020-01-14	Sierra Leone		Sandi et al.	LIV_V	OQ919499	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919499	Kgh
G2315-SLE-2012	2012-08-20 (2012-01-01 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821842	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821842	
G636-SLE-2009	2009-04-11 (2009-01-01 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821778	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821778	
LM395-SLE-2009	2009-08-19 (2009-01-01 - 2009-12-31)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822114	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822114	
G2222-SLE-2011	2011-12-31 (2011-02-15 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821831	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821831	
G1774-SLE-2011	2011-01-01 (2011-01-01 - 2011-11-03)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821811	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821811	
G692-SLE-2009	2009-12-31 (2009-02-12 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821782	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821782	
G676-SLE-2009	2009-12-31 (2009-03-02 - 2009-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821780	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821780	
G-7284-1-1	2016-06-30	Sierra Leone		Sandi et al.	LIV_V	OQ919501	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919501	Kgh
G2405-SLE-2012	2012-01-01 (2012-01-01 - 2012-08-08)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821851	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821851	
G-27952-1-1	2023-04-11	Sierra Leone	Homo sapiens	Sandi et al.	LIV_V	OR113008	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OR113008	Kgh
G2587-SLE-2012	2012-05-15 (2012-01-01 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821864	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821864	
G2295-SLE-2012	2012-01-28 (2012-01-01 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821840	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821840	
M.natalensis-wt/SLE/2019/Largo-00291	2019-10-27	Sierra Leone	Mastomys natalensis	Ghersi et al.	LIV_V	OM735973	Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	OM735973	Largo
M.natalensis-wt/SLE/2019/Largo-00292	2019-10-27	Sierra Leone	Mastomys natalensis	Ghersi et al.	LIV_V	OM735971	Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	OM735971	Largo
G1647-SLE-2011	2011-12-31 (2011-02-16 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821807	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821807	
G-7601-4-1	2017-04-09	Sierra Leone		Sandi et al.	LIV_V	OQ919500	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919500	Kgh
M.natalensis/SLE/2020/Largo-00521	2020-02-18	Sierra Leone	Mastomys natalensis	Ghersi et al.	LIV_V	OM791221	Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	OM791221	Largo
G3106-SLE-2013	2013-04-27 (2013-01-01 - 2013-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821888	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821888	
G3016-SLE-2013	2013-04-27 (2013-01-01 - 2013-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821883	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821883	
G2280-SLE-2012	2012-12-31 (2012-02-25 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821838	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821838	
G-7638-1-1	2017-06-15	Sierra Leone		Sandi et al.	LIV_V	OQ919508	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919508	Kgh
G-8410-1-1	2019-12-26	Sierra Leone		Sandi et al.	LIV_V	OQ919504	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919504	Kgh
G2612-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-10)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821866	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821866	
Z0948-SLE-2011	2011-01-01 (2011-01-01 - 2011-08-13)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822131	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822131	
Z0947-SLE-2011	2011-12-31 (2011-04-29 - 2011-12-31)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822129	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822129	
LM765-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-21)	Sierra Leone	Mastomys natalensis	Andersen et al.	LIV_V	KM822116	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822116	
G2944-SLE-2012	2012-12-31 (2012-03-24 - 2012-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821879	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821879	
G1190-SLE-2010	2010-01-01 (2010-01-01 - 2010-11-02)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821795	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821795	
G1727-SLE-2011	2011-12-31 (2011-02-25 - 2011-12-31)	Sierra Leone	Homo sapiens	Andersen et al.	LIV_V	KM821809	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821809	
