Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MT193281,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16090,S,3384,complete,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-03-13,2020-08-18,ssRNA(+/-)
MT193282,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16131,S,3384,complete,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-04-10,2020-08-18,ssRNA(+/-)
MT193283,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16081,S,3396,complete,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-30,2020-08-18,ssRNA(+/-)
MT193284,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-14-26530,S,3385,complete,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2014-10-23,2020-08-18,ssRNA(+/-)
MT193285,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-14-26529,S,3385,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2014-10-25,2020-08-18,ssRNA(+/-)
MT193286,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16-3490,S,3385,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-21,2020-08-18,ssRNA(+/-)
MT193287,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16-3489,S,3366,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-21,2020-08-18,ssRNA(+/-)
MT193288,Mammarenavirus lassaense,Mammarenavirus lassaense,,BEN-16-3488,S,3396,complete,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-21,2020-08-18,ssRNA(+/-)
MT199226,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16069,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-02-23,2020-08-18,ssRNA(+/-)
MT199227,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16070,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-29,2020-08-18,ssRNA(+/-)
MT199228,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16071,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-02-07,2020-08-18,ssRNA(+/-)
MT199229,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16082,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-03-05,2020-08-18,ssRNA(+/-)
MT199230,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16090,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-03-13,2020-08-18,ssRNA(+/-)
MT199231,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16131,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-04-10,2020-08-18,ssRNA(+/-)
MT199232,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16081,L,7238,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-30,2020-08-18,ssRNA(+/-)
MT199233,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2014/26530,L,7286,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2014-10-23,2020-08-18,ssRNA(+/-)
MT199234,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2014/26529,L,7204,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2014-10-25,2020-08-18,ssRNA(+/-)
MT199235,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/3488,L,7289,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-21,2020-08-18,ssRNA(+/-)
MT248262,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16-15,S,935,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-02-05,2020-08-18,ssRNA(+/-)
MT248263,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16-16,S,886,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-02-05,2020-08-18,ssRNA(+/-)
MT248264,Mammarenavirus lassaense,Mammarenavirus lassaense,,Lassa/H.sapiens/BEN/2016/16-22,S,890,partial,Benin,Benin,Homo sapiens,,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.",2016-01-28,2020-08-18,ssRNA(+/-)
MT119462,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,251,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-03-26,2020-06-10,ssRNA(+/-)
MT119463,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-05-13,2020-06-10,ssRNA(+/-)
MT119464,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-05-15,2020-06-10,ssRNA(+/-)
MT119465,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-09,2020-06-10,ssRNA(+/-)
MT119466,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-09,2020-06-10,ssRNA(+/-)
MT119467,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-09,2020-06-10,ssRNA(+/-)
MT119468,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-09,2020-06-10,ssRNA(+/-)
MT119469,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-10,2020-06-10,ssRNA(+/-)
MT119470,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-11,2020-06-10,ssRNA(+/-)
MT119471,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-11-11,2020-06-10,ssRNA(+/-)
MT119472,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-12,2020-06-10,ssRNA(+/-)
MT119473,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-12,2020-06-10,ssRNA(+/-)
MT119474,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-12,2020-06-10,ssRNA(+/-)
MT119475,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-12,2020-06-10,ssRNA(+/-)
MT119476,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-13,2020-06-10,ssRNA(+/-)
MT119477,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-13,2020-06-10,ssRNA(+/-)
MT119478,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-13,2020-06-10,ssRNA(+/-)
MT119479,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-13,2020-06-10,ssRNA(+/-)
MT119480,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-14,2020-06-10,ssRNA(+/-)
MT119481,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-11-14,2020-06-10,ssRNA(+/-)
MT119482,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-28,2020-06-10,ssRNA(+/-)
MT119483,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-30,2020-06-10,ssRNA(+/-)
MT119484,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-30,2020-06-10,ssRNA(+/-)
MT119485,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-04-17,2020-06-10,ssRNA(+/-)
MT119486,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-04-17,2020-06-10,ssRNA(+/-)
MT119487,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-04-17,2020-06-10,ssRNA(+/-)
MT119488,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2015-03-19,2020-06-10,ssRNA(+/-)
MT119489,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-15,2020-06-10,ssRNA(+/-)
MT119490,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-15,2020-06-10,ssRNA(+/-)
MT119491,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-16,2020-06-10,ssRNA(+/-)
MT119492,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-16,2020-06-10,ssRNA(+/-)
MT119493,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-16,2020-06-10,ssRNA(+/-)
MT119494,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-17,2020-06-10,ssRNA(+/-)
MT119495,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,878,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-17,2020-06-10,ssRNA(+/-)
MT119496,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,878,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2016-01-17,2020-06-10,ssRNA(+/-)
MT119497,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2017-01-16,2020-06-10,ssRNA(+/-)
MT119498,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2017-01-16,2020-06-10,ssRNA(+/-)
MT119499,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2017-01-16,2020-06-10,ssRNA(+/-)
MT119500,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2017-01-18,2020-06-10,ssRNA(+/-)
MT119501,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2017-01-18,2020-06-10,ssRNA(+/-)
MT119502,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,223,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-16,2020-06-10,ssRNA(+/-)
MT119503,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-16,2020-06-10,ssRNA(+/-)
MT119504,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-16,2020-06-10,ssRNA(+/-)
MT119505,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2013-11-16,2020-06-10,ssRNA(+/-)
MT119506,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-03-25,2020-06-10,ssRNA(+/-)
MT119507,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-03-25,2020-06-10,ssRNA(+/-)
MT119508,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-03-26,2020-06-10,ssRNA(+/-)
MT119509,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-03-26,2020-06-10,ssRNA(+/-)
MT119510,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,888,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.",2014-03-26,2020-06-10,ssRNA(+/-)
