strain	date	abbr_authors	s_lineage	gpc_lineage	genbank_accession	author	accession	country	host	sub_lineage	division
Yar-194	2016-11-20	Marien et al.	LIV_V	LIV_V	MT119555	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119555	Guinea	Mastomys natalensis		Yarawalia
Yar14	2013-11-20	Olayemi et al.	LIV_V	LIV_V	MN123692	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123692	Guinea	Mastomys natalensis		Yarawalia
Tan-491	2003-10-05	Bangura et al.	LIV_V	LIV_V	OR490701	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490701	Guinea	Mastomys natalensis		Tanganya
TA491	2003-10-05 (2003-01-01 - 2003-12-31)	Olschlager et al.	LIV_V	LIV_V	GU830843	Olschlager,S.,Lelke,M.,Emmerich,P.,Panning,M.,Drosten,C.,Hass,M.,Asogun,D.,Ehichioya,D.,Omilabu,S.,Gunther,S.	GU830843	Guinea	Mastomys natalensis		
Son-211	2016-11-26	Marien et al.	LIV_V	LIV_V	MT119546	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119546	Guinea	Mastomys natalensis		Sonkonia
Son-197	2016-11-25	Marien et al.	LIV_V	LIV_V	MT119544	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119544	Guinea	Mastomys natalensis		Sonkonia
Yar36	2013-11-21	Olayemi et al.	LIV_V	LIV_V	MN123695	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123695	Guinea	Mastomys natalensis		Yarawalia
Son-69	2014-04-07	Marien et al.	LIV_V	LIV_V	MT119536	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119536	Guinea	Mastomys natalensis		Sonkonia
Son109	2014-04-09	Olayemi et al.	LIV_V	LIV_V	MN123691	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123691	Guinea	Mastomys natalensis		Sonkonia
Son-105	2014-04-09	Marien et al.	LIV_V	LIV_V	MT119537	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119537	Guinea	Mastomys natalensis		Sonkonia
Son85	2014-04-08	Olayemi et al.	LIV_V	LIV_V	MN123690	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123690	Guinea	Mastomys natalensis		Sonkonia
Son-140	2015-11-20	Marien et al.	LIV_V	LIV_V	MT119541	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119541	Guinea	Mastomys natalensis		Sonkonia
Son-198	2016-11-25	Marien et al.	LIV_V	LIV_V	MT119545	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119545	Guinea	Mastomys natalensis		Sonkonia
Son-116	2015-11-19	Marien et al.	LIV_V	LIV_V	MT119538	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119538	Guinea	Mastomys natalensis		Sonkonia
Son-146	2015-11-20	Marien et al.	LIV_V	LIV_V	MT119542	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119542	Guinea	Mastomys natalensis		Sonkonia
Son-133	2015-11-20	Marien et al.	LIV_V	LIV_V	MT119540	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119540	Guinea	Mastomys natalensis		Sonkonia
Son-124	2015-11-19	Marien et al.	LIV_V	LIV_V	MT119539	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119539	Guinea	Mastomys natalensis		Sonkonia
Dam38	2013-11-16	Olayemi et al.	LIV_V	LIV_V	MN123669	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123669	Guinea	Mastomys natalensis		Damania
Yar-09	2013-11-20	Marien et al.	LIV_V	LIV_V	MT119547	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119547	Guinea	Mastomys natalensis		Yarawalia
Dam20	2013-11-16	Olayemi et al.	LIV_V	LIV_V	MN123668	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123668	Guinea	Mastomys natalensis		Damania
Dam03	2013-11-15	Olayemi et al.	LIV_V	LIV_V	MN123665	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123665	Guinea	Mastomys natalensis		Damania
Kho-29	2013-11-24	Bangura et al.	LIV_V	LIV_V	OR490698	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490698	Guinea	Mastomys natalensis		Khoria
Kho29	2013-11-26	Olayemi et al.	LIV_V	LIV_V	MN123676	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123676	Guinea	Mastomys natalensis		Khoria
Kho30	2013-11-26	Olayemi et al.	LIV_V	LIV_V	MN123677	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123677	Guinea	Mastomys natalensis		Khoria
Kho10	2013-11-24	Olayemi et al.	LIV_V	LIV_V	MN123675	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123675	Guinea	Mastomys natalensis		Khoria
Yar-51	2014-04-13	Marien et al.	LIV_V	LIV_V	MT119550	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119550	Guinea	Mastomys natalensis		Yarawalia
Yar-17	2013-11-20	Marien et al.	LIV_V	LIV_V	MT119548	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119548	Guinea	Mastomys natalensis		Yarawalia
Yar-46	2013-11-21	Bangura et al.	LIV_V	LIV_V	OR490703	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490703	Guinea	Mastomys natalensis		Yarawalia
Yar-33	2013-11-21	Marien et al.	LIV_V	LIV_V	MT119549	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119549	Guinea	Mastomys natalensis		Yarawalia
Yar46	2013-11-21	Olayemi et al.	LIV_V	LIV_V	MN123696	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123696	Guinea	Mastomys natalensis		Yarawalia
Yar-62	2014-04-15	Marien et al.	LIV_V	LIV_V	MT119551	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119551	Guinea	Mastomys natalensis		Yarawalia
Yar-26	2019-11-07	Wood et al.	LIV_V	LIV_V	MW776598	Wood,R.,Bangura,U.,Marien,J.,Douno,M.,Fichet-Calvet,E.	MW776598	Guinea	Mastomys natalensis		Yarawalia
Saf-01	2013-12-03	Bangura et al.	LIV_V	LIV_V	OR490699	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490699	Guinea	Mastomys natalensis		Safrani
Saf01	2013-12-03	Olayemi et al.	LIV_V	LIV_V	MN123678	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123678	Guinea	Mastomys natalensis		Safrani
Sok32	2013-11-10	Olayemi et al.	LIV_V	LIV_V	MN123684	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123684	Guinea	Mastomys natalensis		Sokourala
Dal-29	2013-11-30	Marien et al.	LIV_V	LIV_V	MT119483	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119483	Guinea	Mastomys natalensis		Dalafilani
Dal02	2013-11-28	Olayemi et al.	LIV_V	LIV_V	MN123659	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123659	Guinea	Mastomys natalensis		Dalafilani
Sok-22	2013-11-09	Marien et al.	LIV_V	LIV_V	MT119521	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119521	Guinea	Mastomys natalensis		Sokourala
Sok21	2013-11-09	Olayemi et al.	LIV_V	LIV_V	MN123683	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123683	Guinea	Mastomys natalensis		Sokourala
Sok-104	2017-02-01	Marien et al.	LIV_V	LIV_V	MT119534	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119534	Guinea	Mastomys natalensis		Sokourala
Sok-62	2014-04-04	Marien et al.	LIV_V	LIV_V	MT119528	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119528	Guinea	Mastomys natalensis		Sokourala
Sok44	2014-04-03	Olayemi et al.	LIV_V	LIV_V	MN123686	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123686	Guinea	Mastomys natalensis		Sokourala
Sok-77	2014-04-05	Marien et al.	LIV_V	LIV_V	MT119531	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119531	Guinea	Mastomys natalensis		Sokourala
BA366	2003-01-01 (2003-01-01 - 2003-10-27)	Olschlager et al.	LIV_V	LIV_V	GU830839	Olschlager,S.,Lelke,M.,Emmerich,P.,Panning,M.,Drosten,C.,Hass,M.,Asogun,D.,Ehichioya,D.,Omilabu,S.,Gunther,S.,Ehichioya,D.U.,Becker-Ziaja,B.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Ter Meulen,J.,Akpede,G.O.,Omilabu,S.A.	GU830839	Guinea	Mastomys natalensis		
BA384	2003-12-31 (2003-03-06 - 2003-12-31)	Olschlager et al.	LIV_V	LIV_V	GU830841	Olschlager,S.,Lelke,M.,Emmerich,P.,Panning,M.,Drosten,C.,Hass,M.,Asogun,D.,Ehichioya,D.,Omilabu,S.,Gunther,S.	GU830841	Guinea	Mastomys natalensis		
Dal-65	2015-03-19	Marien et al.	LIV_V	LIV_V	MT119488	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119488	Guinea	Mastomys natalensis		Dalafilani
BA289	2003-03-30 (2003-01-01 - 2003-12-31)	Olschlager et al.	LIV_V	LIV_V	GU830838	Olschlager,S.,Lelke,M.,Emmerich,P.,Panning,M.,Drosten,C.,Hass,M.,Asogun,D.,Ehichioya,D.,Omilabu,S.,Gunther,S.	GU830838	Guinea	Mastomys natalensis		
Bri-438	2019-11-14	Marien et al.	LIV_V	LIV_V	PP079039	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079039	Guinea	Mastomys natalensis		Brissa
Bri-421	2019-11-13	Marien et al.	LIV_V	LIV_V	PP079038	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079038	Guinea	Mastomys natalensis		Brissa
Bri-194	2016-11-12	Marien et al.	LIV_V	LIV_V	MT119472	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119472	Guinea	Mastomys natalensis		Brissa
Bri-215	2016-11-13	Marien et al.	LIV_V	LIV_V	MT119476	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119476	Guinea	Mastomys natalensis		Brissa
Bri-195	2016-11-12	Marien et al.	LIV_V	LIV_V	MT119473	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119473	Guinea	Mastomys natalensis		Brissa
Bri-161	2015-11-11	Marien et al.	LIV_V	LIV_V	MT119470	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119470	Guinea	Mastomys natalensis		Brissa
Bri-103	2015-11-09	Marien et al.	LIV_V	LIV_V	MT119465	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119465	Guinea	Mastomys natalensis		Brissa
Bri-229	2016-11-14	Marien et al.	LIV_V	LIV_V	MT119481	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119481	Guinea	Mastomys natalensis		Brissa
Bri-221	2016-11-13	Marien et al.	LIV_V	LIV_V	MT119478	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119478	Guinea	Mastomys natalensis		Brissa
Bri-124	2015-11-09	Marien et al.	LIV_V	LIV_V	MT119468	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119468	Guinea	Mastomys natalensis		Brissa
Bri-210	2016-11-12	Marien et al.	LIV_V	LIV_V	MT119475	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119475	Guinea	Mastomys natalensis		Brissa
Bri39	2013-12-16	Olayemi et al.	LIV_V	LIV_V	MN123658	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123658	Guinea	Mastomys natalensis		Brissa
Bri-201	2016-11-12	Marien et al.	LIV_V	LIV_V	MT119474	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119474	Guinea	Mastomys natalensis		Brissa
Bri-222	2016-11-13	Marien et al.	LIV_V	LIV_V	MT119479	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119479	Guinea	Mastomys natalensis		Brissa
Bri-174	2015-11-11	Marien et al.	LIV_V	LIV_V	MT119471	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119471	Guinea	Mastomys natalensis		Brissa
Bri-08	2013-12-14	Bangura et al.	LIV_V	LIV_V	OR490692	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490692	Guinea	Mastomys natalensis		Brissa
Bri08	2013-12-14	Olayemi et al.	LIV_V	LIV_V	MN123657	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123657	Guinea	Mastomys natalensis		Brissa
Bri-94	2015-05-13	Marien et al.	LIV_V	LIV_V	MT119463	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119463	Guinea	Mastomys natalensis		Brissa
Bri-473	2019-11-17	Marien et al.	LIV_V	LIV_V	PP079048	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079048	Guinea	Mastomys natalensis		Brissa
Bri-449	2019-11-16	Marien et al.	LIV_V	LIV_V	PP079042	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079042	Guinea	Mastomys natalensis		Brissa
Bri-488	2019-11-18	Marien et al.	LIV_V	LIV_V	PP079052	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079052	Guinea	Mastomys natalensis		Brissa
Bri-474	2019-11-17	Marien et al.	LIV_V	LIV_V	PP079049	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079049	Guinea	Mastomys natalensis		Brissa
Bri-450	2019-11-16	Marien et al.	LIV_V	LIV_V	PP079043	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079043	Guinea	Mastomys natalensis		Brissa
Bri-493	2019-11-18	Marien et al.	LIV_V	LIV_V	PP079054	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079054	Guinea	Mastomys natalensis		Brissa
Bri-465	2019-11-16	Marien et al.	LIV_V	LIV_V	PP079046	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079046	Guinea	Mastomys natalensis		Brissa
Bri-463	2019-11-16	Marien et al.	LIV_V	LIV_V	PP079045	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079045	Guinea	Mastomys natalensis		Brissa
Bri-476	2019-11-17	Marien et al.	LIV_V	LIV_V	PP079050	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079050	Guinea	Mastomys natalensis		Brissa
Bri-480	2019-11-17	Marien et al.	LIV_V	LIV_V	PP079051	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079051	Guinea	Mastomys natalensis		Brissa
Bri-466	2019-11-16	Marien et al.	LIV_V	LIV_V	PP079047	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079047	Guinea	Mastomys natalensis		Brissa
Bri-489	2019-11-18	Marien et al.	LIV_V	LIV_V	PP079053	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079053	Guinea	Mastomys natalensis		Brissa
Bri-496	2019-11-18	Marien et al.	LIV_V	LIV_V	PP079055	Marien,J.,Sage,M.,Bangura,U.,Lame,A.,Koropogui,M.,Rieger,T.,Soropogui,B.,Douno,M.,Magassouba,N.,Fichet-Calvet,E.	PP079055	Guinea	Mastomys natalensis		Brissa
Dal-47	2014-04-17	Marien et al.	LIV_V	LIV_V	MT119487	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119487	Guinea	Mastomys natalensis		Dalafilani
Dal25	2013-11-29	Olayemi et al.	LIV_V	LIV_V	MN123663	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123663	Guinea	Mastomys natalensis		Dalafilani
Dal53	2014-04-19	Olayemi et al.	LIV_V	LIV_V	MN123664	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123664	Guinea	Mastomys natalensis		Dalafilani
Dal-44	2014-04-17	Marien et al.	LIV_V	LIV_V	MT119485	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119485	Guinea	Mastomys natalensis		Dalafilani
Dal17	2013-11-29	Olayemi et al.	LIV_V	LIV_V	MN123662	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123662	Guinea	Mastomys natalensis		Dalafilani
Dal-31	2013-11-30	Marien et al.	LIV_V	LIV_V	MT119484	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119484	Guinea	Mastomys natalensis		Dalafilani
Dal04	2013-11-28	Olayemi et al.	LIV_V	LIV_V	MN123660	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123660	Guinea	Mastomys natalensis		Dalafilani
Dal-100	2016-01-16	Marien et al.	LIV_V	LIV_V	MT119493	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119493	Guinea	Mastomys natalensis		Dalafilani
Dal-125	2017-01-16	Marien et al.	LIV_V	LIV_V	MT119499	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119499	Guinea	Mastomys natalensis		Dalafilani
Dal-78	2016-01-15	Marien et al.	LIV_V	LIV_V	MT119490	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119490	Guinea	Mastomys natalensis		Dalafilani
Dal-121	2017-01-16	Marien et al.	LIV_V	LIV_V	MT119498	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119498	Guinea	Mastomys natalensis		Dalafilani
Dal-140	2017-01-18	Marien et al.	LIV_V	LIV_V	MT119501	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119501	Guinea	Mastomys natalensis		Dalafilani
Dal-120	2017-01-16	Marien et al.	LIV_V	LIV_V	MT119497	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119497	Guinea	Mastomys natalensis		Dalafilani
Dal-139	2017-01-18	Marien et al.	LIV_V	LIV_V	MT119500	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119500	Guinea	Mastomys natalensis		Dalafilani
Dal-94	2016-01-16	Marien et al.	LIV_V	LIV_V	MT119491	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119491	Guinea	Mastomys natalensis		Dalafilani
Dal-107	2016-01-17	Marien et al.	LIV_V	LIV_V	MT119494	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119494	Guinea	Mastomys natalensis		Dalafilani
Dal-97	2016-01-16	Marien et al.	LIV_V	LIV_V	MT119492	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119492	Guinea	Mastomys natalensis		Dalafilani
Dal-77	2016-01-15	Marien et al.	LIV_V	LIV_V	MT119489	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119489	Guinea	Mastomys natalensis		Dalafilani
Sil-03	2013-12-06	Bangura et al.	LIV_V	LIV_V	OR490700	Bangura,U.,Davis,C.,Lamin,J.,Bangura,J.,Soropogui,B.,Davison,A.J.,Nichols,J.,Vucak,M.,Dawson,M.,Ansumana,R.,Sondufu,D.,Cadar,D.,Rieger,T.,Thomson,E.,Sahr,F.,Magassouba,N.,Ghersi,B.,Bird,B.H.,Fichet-Calvet,E.	OR490700	Guinea	Mastomys natalensis		Silimi
Sil03	2013-12-06	Olayemi et al.	LIV_V	LIV_V	MN123679	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123679	Guinea	Mastomys natalensis		Silimi
Sok51	2014-04-03	Olayemi et al.	LIV_V	LIV_V	MN123687	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123687	Guinea	Mastomys natalensis		Sokourala
Sok07	2013-11-08	Olayemi et al.	LIV_V	LIV_V	MN123680	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123680	Guinea	Mastomys natalensis		Sokourala
Sok18	2013-11-09	Olayemi et al.	LIV_V	LIV_V	MN123682	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123682	Guinea	Mastomys natalensis		Sokourala
Sok40	2014-04-03	Olayemi et al.	LIV_V	LIV_V	MN123685	Olayemi,A.,Adesina,A.S.,Strecker,T.,Magassouba,N.,Fichet-Calvet,E.,Adesina,A.	MN123685	Guinea	Mastomys natalensis		Sokourala
Bri-228	2016-11-14	Marien et al.	LIV_V	LIV_V	MT119480	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119480	Guinea	Mastomys natalensis		Brissa
Sok-49	2014-04-03	Marien et al.	LIV_V	LIV_V	MT119526	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119526	Guinea	Mastomys natalensis		Sokourala
Sok-34	2013-11-10	Marien et al.	LIV_V	LIV_V	MT119522	Marien,J.,Lo Iacono,G.,Rieger,T.,Magassouba,N.,Gunther,S.,Fichet-Calvet,E.	MT119522	Guinea	Mastomys natalensis		Sokourala
